"","HEK293","HCT","H9","HEK293T","HELA","HEPG2","HUVEC","K562"
"3725826",5.76999150254236,6.25982305794938,5.62864077990451,5.87977813836367,6.0125762215776,7.05293435439454,6.25949108809942,6.68575091354741
"3725828",3.01208384492522,3.63350694751422,3.98972390087409,3.10255507846435,3.88002858446876,4.28259608981067,4.55655526838994,4.28414251672003
"3725830",3.58598170469631,4.26958789853678,4.54423626986731,4.94698422744638,3.83707087992406,4.16695651770959,4.45804085092354,4.25801830022854
"3725832",2.50602265001023,2.5115043067158,2.79285078787787,3.30568905844833,2.84010354210458,2.99921251290774,2.48659891365693,3.14040277604889
"3725834",2.30088896066369,2.8189028144234,3.031878162039,3.45498423315161,3.05760958368023,2.90359190917083,2.71635118934832,2.73795360080982
"3725836",3.00404266172887,3.52433552315786,3.67798896420418,4.11904289763748,2.82435153069205,3.56393411939732,3.47914663487405,3.50587528748492
"3725838",3.01202766092807,3.0059193292924,3.43401689595306,4.61738038480631,3.90825524480371,3.84050119164768,3.25430461027646,3.87157556983893
"3725840",3.00698852585885,3.37356752109882,5.31142686493303,6.07059139728155,4.03981157772526,4.55010654997854,4.01717327893519,4.43217412343726
"3725842",2.33489891254131,2.34393190986496,3.4600801397683,3.00188410542929,3.70738088298404,3.52069444583246,3.37356889441186,3.5968121912302
"3725844",9.70786025269848,9.32407817908929,9.51544613566988,9.93102199338989,9.30974384668242,8.7384524757397,8.24145442852244,9.51316259896504
"3725846",2.70550981344825,3.1937748624646,3.63409996281908,4.98955774394274,3.42360487783335,3.47468532252974,3.09999204628022,4.15479582778129
"3725848",3.12011989979718,3.49935851320333,5.24788733162116,5.06245061455424,3.47818317340943,3.2849177106517,3.93295885005263,3.86773671651903
"3725850",5.03506388570463,5.38123040929035,5.55219856023344,6.51532380674565,5.12208909477375,5.36155017394191,4.78008916334636,5.77185912937744
"3725852",10.6246083675916,9.92069047741075,10.1584911971829,10.4652318814796,10.0307356516999,9.65024484513437,9.84011230881413,10.3247653039079
"3725854",3.78179873771127,3.63119703309107,3.43198061294995,4.18735777843381,4.21614390493388,3.7326545304811,3.46826644716777,3.66879582298992
"3725856",3.36581727558515,3.67540122244579,4.92891641761712,4.72900439716843,3.79680846505505,4.53100044545524,3.50642632192113,4.38340054497286
"3725858",5.47640788375168,5.65077980335302,6.30009693768482,6.39914921819947,6.02397214365315,5.76262286941864,6.41442067501313,5.83998215708127
"3725860",2.46500608462682,3.81728545801123,3.61687596734024,3.12591225056219,3.01905695121769,4.34378831067751,2.78363229479859,3.56691245454761
"3725862",3.29676263526671,4.52561441686199,5.78280247123598,5.33182439661181,5.16613226553625,5.52543014513317,3.44624356462909,5.0350597902212
"3725864",2.44046292714961,2.78852372795054,3.39400210139234,3.39676738923149,3.95366498262273,3.2797331999443,2.96568067725199,3.08883838308896
"3725866",2.51375263211004,2.28160347878961,2.9526797390802,3.27864766480445,3.05816946621193,3.02595847116661,2.48695966198666,3.12670592714371
"3725868",2.43810841841026,2.58782053151378,3.03577829836481,3.28455614979937,3.03794495228459,2.9070029310628,2.86060356880821,3.00104927934809
"3725870",2.75088039345726,2.67158967962431,2.88659341914255,2.76919873593906,3.13048577775715,3.22038692054881,3.66406258982637,3.83497696856273
